date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff,predicted_result
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,1,,,2026,1.6,1.2,0.4,0.4,0.4,1.2,1.3,-0.1,0.4,0.1,0,0,0,5,1124.662390043795,1170.6621165711408,-45.99972652734573,A
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,1,,,2026,1.0,0.9,0.1,0.4,0.4,2.8,0.4,2.4,0.7,0.3,0,0,0,5,1343.391139790189,1531.993840122158,-188.6027003319689,A
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,1,,,2026,3.1,0.8,2.3,0.6,0.3,2.5,0.9,1.6,0.8,0.1,0,0,0,5,1363.603096577509,1475.5105035919976,-111.90740701448863,A
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,1,,,2026,1.6,0.9,0.7,0.6,0.2,1.1,1.0,0.1,0.5,0.2,0,0,0,5,1316.2318502550513,1200.461401345986,115.77044890906541,H
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,1,,,2026,2.1,0.4,1.7,0.7,0.2,2.7,0.4,2.3,0.8,0.1,0,0,0,5,1345.704740208527,1335.2573491675348,10.447391040992215,H
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,1,,,2026,1.7,1.5,0.2,0.5,0.2,2.5,0.3,2.2,0.8,0.1,0,0,0,5,1195.2643183726084,1555.332610428662,-360.0682920560537,A
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,1,,,2026,2.5,1.0,1.5,0.7,0.1,2.6,0.9,1.7,0.7,0.2,0,0,0,5,1442.104925799377,1450.506595038551,-8.401669239173998,A
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,1,,,2026,1.1,0.5,0.6,0.5,0.3,1.4,0.9,0.5,0.4,0.3,0,0,0,5,1207.118540421285,1265.4095035636035,-58.29096314231856,A
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,1,,,2026,1.8,1.6,0.2,0.4,0.4,2.4,0.2,2.2,0.8,0.1,0,0,0,5,1223.8917065769451,1446.5884441544304,-222.69673757748524,A
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,1,,,2026,1.9,1.0,0.9,0.7,0.1,1.1,1.4,-0.3,0.3,0.2,0,0,0,5,1366.7746923169145,1072.792228287238,293.9824640296765,H
