date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,tournament_weight,elo_home,elo_away,elo_diff,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws
2000-02-06,Ghana,South Africa,0.0,1.0,African Cup of Nations,Kumasi,Ghana,False,A,-1.0,2000,3.0,1015.0875309938501,1032.9471145752557,-17.85958358140556,1.25,0.75,0.5,0.5,0.25,1.67,0.67,1.0,0.67,0.33,0,0,0
2000-02-06,Latvia,Lithuania,1.0,2.0,Cyprus International Tournament,Larnaca,Cyprus,True,A,-1.0,2000,2.0,980.0,968.0,12.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0
2000-02-06,Malta,Azerbaijan,3.0,0.0,Malta International Tournament,Attard,Malta,False,H,3.0,2000,2.0,1020.0,1000.0,20.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-07,Singapore,Malaysia,3.0,1.0,Friendly,Singapore,Singapore,False,H,2.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-07,Egypt,Tunisia,0.0,1.0,African Cup of Nations,Kano,Nigeria,True,A,-1.0,2000,3.0,1034.5711493595443,1001.0079404637397,33.563208895804564,1.5,1.0,0.5,0.67,0.0,2.0,1.2,0.8,0.4,0.2,0,0,0
2000-02-07,Nigeria,Senegal,2.0,1.0,African Cup of Nations,Lagos,Nigeria,False,H,1.0,2000,3.0,1038.2436115903893,1002.2438842633373,35.999727327051914,2.0,0.67,1.33,0.67,0.33,1.25,1.0,0.25,0.25,0.5,0,0,0
2000-02-08,Albania,Azerbaijan,1.0,0.0,Malta International Tournament,Attard,Malta,True,H,1.0,2000,2.0,1024.0,977.3800270668289,46.619972933171084,3.0,0.0,3.0,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0,0,0
2000-02-08,Malta,Andorra,1.0,1.0,Malta International Tournament,Attard,Malta,False,D,0.0,2000,2.0,1042.619972933171,976.0,66.61997293317108,2.5,0.0,2.5,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0,0,0
2000-02-08,Mexico,Czech Republic,1.0,2.0,Lunar New Year Cup,So Kon Po,Hong Kong,True,A,-1.0,2000,2.0,1031.263693206478,1000.0,31.26369320647791,1.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-08,Syria,North Korea,5.0,1.0,Friendly,Damascus,Syria,False,H,4.0,2000,1.0,976.0,1000.0,-24.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-09,Bulgaria,Slovakia,1.0,0.0,Friendly,Valparaíso,Chile,True,H,1.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-09,Cayman Islands,Jamaica,0.0,1.0,Friendly,George Town,Cayman Islands,False,A,-1.0,2000,1.0,1001.0537007587869,1014.2099924476911,-13.156291688904162,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0,0,1
2000-02-09,Chile,Australia,2.0,1.0,Friendly,Valparaíso,Chile,False,H,1.0,2000,1.0,954.0024484963127,1000.0,-45.997551503687305,0.67,1.67,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-09,Honduras,El Salvador,5.0,1.0,Friendly,San Pedro Sula,Honduras,False,H,4.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-10,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,A,-3.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-10,Nigeria,South Africa,2.0,0.0,African Cup of Nations,Lagos,Nigeria,False,H,2.0,2000,3.0,1052.591670499635,1048.1253740109444,4.466296488690659,2.0,0.75,1.25,0.75,0.25,1.5,0.5,1.0,0.75,0.25,0,0,0
2000-02-10,Malta,Albania,0.0,1.0,Malta International Tournament,Attard,Malta,False,A,-1.0,2000,2.0,1038.0736111033427,1037.8658639986832,0.2077471046595747,2.0,0.33,1.67,0.67,0.33,2.0,0.0,2.0,1.0,0.0,0,0,0
2000-02-10,Hong Kong,Singapore,0.0,0.0,Friendly,Victoria,Hong Kong,False,D,0.0,2000,1.0,1000.0,1020.0,-20.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0,0,0
2000-02-10,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,H,5.0,2000,2.0,1021.324359796447,1000.0,21.32435979644697,2.5,0.5,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-10,Cameroon,Tunisia,3.0,0.0,African Cup of Nations,Accra,Ghana,True,H,3.0,2000,3.0,1023.7100408084759,1018.5487932133103,5.161247595165605,1.33,0.83,0.5,0.33,0.5,1.83,1.0,0.83,0.5,0.17,0,0,0
2000-02-10,Andorra,Azerbaijan,0.0,0.0,Malta International Tournament,Attard,Malta,True,D,0.0,2000,2.0,980.5463618298284,963.5141630681458,17.032198761682594,0.5,2.0,-1.5,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,0,0,0
2000-02-12,Australia,Slovakia,0.0,0.0,Friendly,Valparaíso,Chile,True,D,0.0,2000,1.0,981.8940243056109,984.0,-2.1059756943891443,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0
2000-02-12,Chile,Bulgaria,3.0,2.0,Friendly,Valparaíso,Chile,False,H,1.0,2000,1.0,972.1084241907018,1016.0,-43.89157580929816,1.0,1.5,-0.5,0.25,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0
2000-02-12,Colombia,Jamaica,1.0,0.0,Gold Cup,Miami,United States,True,H,1.0,2000,2.0,1000.0,1029.6044122444218,-29.604412244421837,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.67,0.67,0.33,0,0,0
